7zip 25.01-1
aichat 0.30.0-2
android-file-transfer 4.5-2
arch-install-scripts 31-1
ascii 3.30-2
base 3-2
base-devel 1-2
blueman 2.4.6-2
brightnessctl 0.5.1-3
btop 1.4.6-1
cable 0.9.22-2
cmatrix 2.0-4
curseforge 1.296.4_30607-1
dbeaver 25.3.2-1
discord 1:0.0.122-1
dunst 1.13.0-1
eclipse-java-bin 2:4.37-1
fastfetch 2.58.0-1
file-roller 44.6-1
filelight 25.12.1-1
firefox 147.0.1-1
fprintd 1.94.5-1
git 2.52.0-2
github-desktop-bin 3.4.13_linux1-1
gnome-keyring 1:48.0-1
gnome-power-manager 43.0-3
goverlay 1.7.1-1
gptfdisk 1.0.10-2
hyprland 0.53.3-1
hyprlock 0.9.2-8
hyprpaper 0.8.2-1
hyprpolkitagent 0.1.3-4
hyprshell-bin 4.8.0-1
hyprshot 1.3.0-4
intel-ucode 20251111-1
jdk21-openjdk 21.0.10.u7-1
kdiskmark 3.2.0-1
kitty 0.45.0-4
kolourpaint 25.12.1-1
libreoffice-fresh 25.8.4-3
linux 6.18.6.arch1-1
linux-firmware 20260110-1
linux-headers 6.18.6.arch1-1
linux-wifi-hotspot 4.7.2-3
man-db 2.13.1-1
mangohud 0.8.2-2
memtest86+-efi 7.20-2
minecraft-launcher 1:2.1.3-3
mission-center 1.1.0-1
nano 8.7-1
ncdu 2.9.2-1
neovim 0.11.5-1
net-tools 2.10-3
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
ngrok 3.35.0-1
nm-connection-editor 1.36.0-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.01.01-1
nwg-look 1.0.6-1
obs-studio 32.0.4-1
obsidian 1.11.5-1
ollama 0.15.1-1
openssh 10.2p1-2
pavucontrol 1:6.2-1
php 8.5.2-1
pipes.sh 1.3.0-1
pipewire-alsa 1:1.4.10-1
pipewire-pulse 1:1.4.10-1
pokemon-colorscripts-git r114.5802ff67-1
postgresql 18.1-2
prismlauncher 10.0.2-1
protontricks 1.13.1-3
protonup-qt 2.14.0-1
qbittorrent 5.1.4-1
rofi 2.0.0-1
screenkey 1.5-7
sddm 0.21.0-6
sof-firmware 2025.12.1-1
spotify-launcher 0.6.4-1
steam 1.0.0.85-1
steamtinkerlaunch 12.12-1
thunar 4.20.7-1
thunderbird 147.0-1
timeshift 25.12.4-1
tldr 3.4.3-3
tlp 1.9.0-3
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
tty-clock 2.3-2
tumbler 4.20.1-1
udiskie 2.6.0-1
unzip 6.0-23
uwsm 0.26.0-1
virtualbox 7.2.4-2
virtualbox-host-modules-arch 7.2.4-16
visual-studio-code-bin 1.106.3-1
vlc 3.0.21-32
vlc-plugins-all 3.0.21-32
vulkan-tools 1.4.335.0-1
waybar 0.14.0-6
wine 11.1-2
winetricks 20250102-1
xdg-desktop-portal-hyprland 1.3.11-3
xorg-xhost 1.0.10-1
yay 12.5.7-1
zip 3.0-11
